10	가지 말아요	지아	[3252, 3129, 1600]	['이별', '생각', '조금', '숨', '턱', '손', '사랑', '사랑', '말', '소리', '한참', '하루', '상처', '날', '사랑', '사랑', '말', '소리', '한참', '하루', '정신', '잘못', '발목', '부탁', '시간', '사랑', '시간']
11	왜 	동방신기 (TVXQ!)	[1111, 181, 59]	['시작', '이유', '주변', '사람', '날', '사랑', '게', '진실', 'low', 'low', '자리', 'head', '속', 'head', '사랑', '날', '가슴', '순간', '꿈', '시간', '행복', '세상', '꿈', '행복', '지금', '길', 'chillin', 'Feel', '예전', '착각', 'Hey', '철이', '사람', 'baby', 'head', '가슴', 'head', '사랑', '아픔', '가슴', '날', '가슴', '순간', '꿈', '시간', '행복', '하', '사람', '장난', '장난', '앞', '래', '거짓말', '이중', '수정', '마음', '사랑', '가슴', '미래', '손짓', '행복', '훗날', '훗날', '사랑', '걱정', '거란', '생각', '게', 'head', '가슴', 'head', '가슴']
12	똑같다면	브라운 아이드 소울	[995, 2203, 3578]	['집', '길', '생각', '걸음', '맘', '길', '고개', '지금', '마음', '기억', '추억', '밤', '음악', '잠', '품', '오랫동안', '하루', '맘', '하늘', '목소리', '때', '가슴', '품', '오랫동안', '하루', '맘', '손', '기억', '전', '손', '품', '오랫동안', '하루', '맘']
13	별처럼	태연 (TAEYEON)	[353, 114, 328]	['세상', '곳', '심장', '사랑', '말', '마음', '대만', '대만', '아무것', '필요', 're', 'everything', 're', 'everything', '하늘', '별', '사랑', '영원', '사랑', '사랑해요', '비교', '사랑', '마음', '대신', 're', 'everything', 're', 'everything', '하늘', '별', '사랑', '영원', '사랑', '사랑해요', '이별', '일', '상처', '일', '눈물', 're', 'everything', 're', 'everything', '세월', '사랑', '영원', '사랑', '사랑해요', '슬픔', '세상']
14	이게 아닌데	아이유	[1741, 55, 2253]	['말', '말', '얼굴', '말', '사랑', '입술', '농담', '거짓말', '게', '애원', '안부', '바보', '사실', '걱정', '입술', '농담', '거짓말', '게', '진실', '게', '끝', '밖', '사이', '맘', '말']
15	처음 사랑하는 연인들을 위해 	정용화 (CNBLUE)	[298, 2212, 134]	['날', '미소', '오늘', '기대', '말', '손', '웃음', '반말', '사이', '말투', '대신', '말', '반말', '사이', '한걸음', '이제', '눈', '말', '사랑', '너와', '손', '날', '심장', '기분', '말', '기억', '안나', '기분', '반말', '사이', '말투', '대신', '말', '반말', '사이', '한걸음', '이제', '눈', '말', '사랑', '사랑', '사이', '손', '눈빛', '속', '행복', '미소', '사랑', '사이', '눈빛', '말', '사랑']
16	Bad Temper	가인	[1124, 2666, 3575]	['맘', '말', '생각', '얘기', 'don', 'care', 'don', 'try', 'don', 'act', '입안', '혀', 'don', 'damn', 'damn', '말', '안', 'speak', '얘기', '하루', 'talk', 'talk', 'talk', 'wait', '가식', '말', '뒤', '말', 'don', 'care', 'don', 'try', 'don', 'act', '입안', '혀', 'don', 'damn', 'damn', '말', '안', 'speak', '얘기', '하루', 'talk', 'talk', 'talk', 'wait']
17	점핑 	카라	[268, 1603, 2325]	['Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', '기억', 'Jump', 'Jump', '날', '시간', '갈래', '이예', '맘', '그때', 'nothing', '베', 'tter', 'YOU', '기억', '속', 'Jumpin', 'Jumpin', 'Jumpin', 'YOU', '사랑', 'Jumpin', 'Jumpin', 'Jumpin', 'YOU', '그때', 'Jumpin', 'YOU', 'Jumpin', 'YOU', 'Jumpin', 'Jumpin', '이예', '맘', '그때', 'Reapt', 'ye', 'ye', '다이아', 'YOU', '얼음', '속', 'Jumpin', 'Jumpin', 'Jumpin', 'YOU', '추억', 'Jumpin', 'Jumpin', 'Jumpin', 'YOU', '그때', 'Jumpin', 'YOU', 'Jumpin', 'YOU', 'Nothing', 'YOU', '기억', '속', 'Jumpin', 'Jumpin', 'Jumpin', 'YOU', '사랑', 'Jumpin', 'Jumpin', 'Jumpin', 'YOU', '그때', 'Jumpin', 'YOU', 'Jumpin', 'YOU', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin', 'Jumpin']
18	훗 	소녀시대 (GIRLS' GENERATION)	[3720, 1910, 574]	['눈', '사이', '여자', '못', '가시', '코웃음', '이상', '조금', '친절', '말투', '게', '마음', '갑옷', '이제', '화살', 'Trouble', 'Trouble', 'Trouble', 'Shoot', 'Shoot', 'Shoot', '독', '배', '말', '상처', 'Chance', 'Trouble', 'Trouble', 'Trouble', '때', 'Shoot', 'Shoot', 'Shoot', '여자', '함정', '변명', '끝', '정신', '태도', '여자', '착각', '큐피', '드가', '말', '마음', '갑옷', '이제', '화살', 'Trouble', 'Trouble', 'Trouble', 'Shoot', 'Shoot', 'Shoot', '독', '배', '말', '상처', 'Chance', 'Trouble', 'Trouble', 'Trouble', '때', 'Shoot', 'Shoot', 'Shoot', '물속', 'Circle', '말', '대답', '화살', '마음', '갑옷', '이제', '화살', 'Trouble', 'Trouble', 'Trouble', 'Shoot', 'Shoot', 'Shoot', '독', '배', '말', '상처', 'Chance', 'Trouble', 'Trouble', 'Trouble', '때', 'Shoot', 'Shoot', 'Shoot']
19	언제나	허각	[789, 265, 1600]	['사랑', '시간', '사랑', '세상', '곁', '다행', '아침', '눈', '생각', '미소', '시작', '하루', '끝', '생각', '행복', '사람', '사랑', '시간', '사랑', '세상', '곁', '다행', '눈물', '곁', '사랑', '시간', '사랑', '세상', '곁', '다행', '비바람', '어둠', '하루', '심장', '하늘', '사랑', '사람', '세상', '사랑']
