166	머쉬베놈 (MUSHVENOM)	남성	솔로	23230
167	국카스텐	남성	그룹	29923
168	쿨 (COOL)	혼성	그룹	16138
169	소찬휘	여성	솔로	3939
170	VIXX (빅스)	남성	그룹	70799
171	씨스타	여성	그룹	70571
172	전인혁 (야다)	남성	솔로	471
173	서인국	남성	솔로	27691
174	신지	여성	솔로	2878
175	노블레스	남성	솔로	1990
176	김형준	남성	솔로	1620
177	팬텀	남성	그룹	10422
178	소녀시대 (GIRLS' GENERATION)	여성	그룹	103844
179	미쓰에이	여성	그룹	21091
180	부가킹즈	남성	그룹	824
181	원슈타인	남성	솔로	22456
182	이효리	여성	솔로	16278
183	올티 (Olltii)	남성	솔로	16290
184	피에스타	여성	그룹	7752
185	박명수	남성	솔로	4551
186	황태지 (황광희, 태양, 지드래곤)	남성	그룹	11295
187	형돈이와 대준이	남성	그룹	6952
188	솔지	여성	솔로	12557
189	동방신기 (TVXQ!)	남성	그룹	38061
190	김하온 (HAON)	남성	솔로	53271
191	WINNER	남성	그룹	211739
192	우원재	남성	솔로	58495
193	펀치 (Punch)	여성	솔로	48114
194	김현정	여성	솔로	4290
195	HI SUHYUN	여성	그룹	9787
196	폴킴	남성	솔로	149583
197	바이브	남성	그룹	38319
198	허니 패밀리	남성	그룹	787
199	옥상달빛	여성	그룹	36069
200	박칼린	여성	솔로	125
201	트루디 (Truedy)	여성	솔로	3132
202	수지 (SUZY)	여성	솔로	46762
203	임슬옹	남성	솔로	3133
204	브라이언	남성	솔로	3179
205	정준하 X ZICO	남성	그룹	1413
206	한승희	남성	솔로	1702
207	주헌 (몬스타엑스)	남성	솔로	14015
208	Amber Liu (엠버)	여성	솔로	9096
209	aespa	여성	그룹	18276
210	김민규 (Young Kay)	남성	솔로	5476
211	클래지콰이	혼성	그룹	14523
212	빈첸	남성	솔로	57734
213	백아연	여성	솔로	38514
214	매드클라운	남성	솔로	63307
215	김용준	남성	솔로	2740
216	이루	남성	솔로	1644
217	케이시 (Kassy)	여성	솔로	41083
218	프라이머리	남성	솔로	67552
219	지소울 (GSoul)	남성	솔로	23138
220	김동률	남성	솔로	86933
221	창모 (CHANGMO)	남성	솔로	121635
222	칸토	남성	솔로	6001
223	처진 달팽이 (유재석 & 이적)	남성	그룹	1883
224	임재현	남성	솔로	10975
225	정기고	남성	솔로	21090
226	G-DRAGON	남성	솔로	140239
227	양세형 X BewhY	남성	그룹	1319
228	김세정	여성	솔로	47880
229	이수현	여성	솔로	22462
230	이문세	남성	솔로	29383
231	김지수	남성	솔로	4827
232	박정민	남성	솔로	1455
233	임재범	남성	솔로	15245
234	백예린 (Yerin Baek)	여성	솔로	146751
235	영준 (브라운 아이드 소울)	남성	솔로	4736
236	블락비 바스타즈	남성	그룹	30180
237	EXO-K	남성	그룹	130969
238	저스디스 (JUSTHIS)	남성	솔로	42069
239	멜로망스	남성	그룹	70465
240	Pro C (프로씨)	남성	그룹	466
241	AOA	여성	그룹	55173
242	효린	여성	솔로	22384
243	그리 (GREE)	남성	솔로	5026
244	B.I	남성	솔로	31776
245	나인뮤지스	여성	그룹	14844
246	Apink BnN (보미,남주)	여성	그룹	13401
247	민경훈	남성	솔로	21246
248	킬라그램 (KILLAGRAMZ)	남성	솔로	3502
249	Pinkrush	여성	그룹	1148
250	술제이 (Sool J)	남성	솔로	2908
251	정진운	남성	솔로	1600
252	김장훈	남성	솔로	1962
253	크리스티나	여성	솔로	84
254	Lil tachi	남성	솔로	9287
255	김진표	남성	솔로	4642
256	려욱 (RYEOWOOK)	남성	솔로	16496
257	SUPER JUNIOR (슈퍼주니어)	남성	그룹	66047
258	보이비	남성	솔로	5372
259	김소리	여성	솔로	215
260	케이윌	남성	솔로	92944
261	문문 (MoonMoon)	남성	솔로	24844
262	길구봉구	남성	그룹	21150
263	미도와 파라솔	혼성	그룹	9299
264	강지영	여성	솔로	1383
265	김경희	여성	솔로	3939
266	MC몽	남성	솔로	60480
267	가호 (Gaho)	남성	솔로	9195
268	선미	여성	솔로	47458
269	데프콘	남성	솔로	7136
270	권진아	여성	솔로	54621
271	BMK	여성	솔로	3232
272	스컬	남성	솔로	3984
273	슬레이트	남성	그룹	7516
274	Zion.T	남성	솔로	138456
275	황광희 X 개코	남성	그룹	1621
276	이창민	남성	솔로	2102
277	철싸 (노홍철 & 싸이)	남성	그룹	251
278	슈퍼스타K 2	혼성	그룹	23
279	곽진언	남성	솔로	24532
280	웬디 (WENDY)	여성	솔로	40463
